CMDLINE /usr/bin/python3 /home/blackarch/syste/desk/poc.py
MEM 5.250000 1701883328.7809
MEM 18.976562 1701883328.8813
MEM 34.351562 1701883328.9816
MEM 41.976562 1701883329.0820
MEM 50.066406 1701883329.1824
MEM 63.816406 1701883329.2828
MEM 57.847656 1701883329.3831
MEM 57.847656 1701883329.4845
MEM 57.847656 1701883329.5850
MEM 57.847656 1701883329.6854
MEM 57.847656 1701883329.7859
MEM 57.847656 1701883329.8863
MEM 57.847656 1701883329.9868
MEM 57.847656 1701883330.0873
MEM 57.847656 1701883330.1879
MEM 57.847656 1701883330.2882
MEM 57.847656 1701883330.3885
MEM 57.847656 1701883330.4891
MEM 57.847656 1701883330.5895
MEM 57.847656 1701883330.6900
MEM 57.847656 1701883330.7905
MEM 57.847656 1701883330.8910
MEM 57.847656 1701883330.9915
MEM 57.847656 1701883331.0918
MEM 57.847656 1701883331.1922
MEM 57.847656 1701883331.2927
MEM 57.847656 1701883331.3932
MEM 57.847656 1701883331.4937
MEM 57.847656 1701883331.5943
MEM 57.847656 1701883331.6947
MEM 57.847656 1701883331.7951
MEM 57.847656 1701883331.8955
MEM 57.847656 1701883331.9960
MEM 57.847656 1701883332.0964
MEM 57.847656 1701883332.1969
MEM 57.847656 1701883332.2974
MEM 57.847656 1701883332.3978
MEM 57.847656 1701883332.4983
MEM 57.847656 1701883332.5988
MEM 57.847656 1701883332.6992
MEM 57.847656 1701883332.7996
MEM 57.847656 1701883332.9000
MEM 57.847656 1701883333.0005
MEM 57.847656 1701883333.1009
MEM 57.847656 1701883333.2014
MEM 57.847656 1701883333.3019
MEM 57.847656 1701883333.4024
MEM 57.847656 1701883333.5028
MEM 57.847656 1701883333.6033
MEM 57.847656 1701883333.7038
MEM 57.847656 1701883333.8042
MEM 57.847656 1701883333.9049
MEM 57.847656 1701883334.0053
MEM 57.847656 1701883334.1058
MEM 57.847656 1701883334.2061
MEM 57.847656 1701883334.3066
MEM 57.847656 1701883334.4071
MEM 57.847656 1701883334.5076
MEM 57.847656 1701883334.6081
MEM 57.847656 1701883334.7086
MEM 57.847656 1701883334.8090
MEM 57.847656 1701883334.9094
MEM 57.847656 1701883335.0099
MEM 57.847656 1701883335.1104
MEM 57.847656 1701883335.2110
MEM 57.847656 1701883335.3114
MEM 57.847656 1701883335.4119
MEM 57.847656 1701883335.5123
MEM 57.847656 1701883335.6128
MEM 57.847656 1701883335.7133
MEM 57.847656 1701883335.8138
MEM 57.847656 1701883335.9143
MEM 57.847656 1701883336.0147
MEM 57.847656 1701883336.1152
MEM 57.847656 1701883336.2156
MEM 57.847656 1701883336.3160
MEM 57.847656 1701883336.4164
MEM 57.847656 1701883336.5169
MEM 45.988281 1701883336.6200
